Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.343861,0.753543,2.19142,0.0822695,1.33992,16.2869
3,0.435503,0.51276,1.1774,0.0822695,1.27474,15.4947
4,0.346843,0.373593,1.07713,0.28998,0.494721,1.70605
10,0.218442,0.43302,1.98231,0.0822695,1.22008,14.8303
13,0.403814,0.431737,1.06915,0.28998,0.494721,1.70605
15,0.339578,0.396225,1.16682,0.0822695,0.494721,6.01342
16,0.429218,0.429761,1.00126,0.28998,0.494721,1.70605
17,0.343211,0.4208,1.22607,0.0822695,1.22008,14.8303
18,0.242388,0.412445,1.70159,0.0822695,1.27474,15.4947
19,0.212432,0.255485,1.20267,0.28998,0.494721,1.70605
20,0.392619,0.406417,1.03514,0.28998,0.494721,1.70605
22,0.275771,0.281869,1.02211,0.28998,0.494721,1.70605
23,0.196108,0.336106,1.71388,0.0822695,1.22008,14.8303
