Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.30586,0.682752,2.23224,0.0465489,1.37023,29.4363
2,0.360689,0.398703,1.10539,0.113631,0.197269,1.73604
4,0.409439,0.438149,1.07012,0.113631,0.197269,1.73604
6,0.173285,0.376625,2.17345,0.113631,1.31007,11.5291
8,0.334068,0.372818,1.11599,0.113631,1.31007,11.5291
11,0.262427,0.38908,1.48262,0.113631,1.31007,11.5291
12,0.381944,0.391974,1.02626,0.113631,1.31007,11.5291
14,0.319686,0.378074,1.18264,0.113631,1.31007,11.5291
17,0.315893,0.361791,1.1453,0.113631,1.31007,11.5291
19,0.348816,0.382403,1.09629,0.113631,1.31007,11.5291
21,0.3374,0.366006,1.08479,0.113631,0.197269,1.73604
29,0.158936,0.365724,2.30107,0.113631,1.31007,11.5291
31,0.159586,0.372635,2.33501,0.113631,1.31007,11.5291
36,0.372924,0.373674,1.00201,0.113631,1.31007,11.5291
39,0.339753,0.356992,1.05074,0.113631,0.197269,1.73604
41,0.284949,0.368512,1.29325,0.113631,1.31007,11.5291
42,0.346965,0.371403,1.07043,0.113631,1.31007,11.5291
45,0.214639,0.368368,1.71622,0.113631,1.31007,11.5291
47,0.29276,0.369122,1.26084,0.113631,1.31007,11.5291
49,0.237234,0.341375,1.43898,0.113631,1.31007,11.5291
54,0.191171,0.359895,1.88258,0.113631,1.31007,11.5291
56,0.236078,0.34394,1.45689,0.113631,1.31007,11.5291
58,0.178405,0.364092,2.04082,0.113631,1.31007,11.5291
59,0.315384,0.36463,1.15615,0.113631,1.31007,11.5291
60,0.208201,0.282443,1.35658,0.113631,1.31007,11.5291
61,0.267676,0.364543,1.36188,0.113631,1.31007,11.5291
62,0.202449,0.35934,1.77497,0.113631,1.31007,11.5291
64,0.313933,0.359312,1.14455,0.113631,1.31007,11.5291
65,0.301392,0.303378,1.00659,0.113631,0.197269,1.73604
67,0.347389,0.358377,1.03163,0.113631,0.197269,1.73604
68,0.324745,0.334654,1.03051,0.113631,0.197269,1.73604
69,0.183745,0.34326,1.86813,0.113631,1.31007,11.5291
70,0.233251,0.344346,1.47629,0.113631,1.31007,11.5291
71,0.26996,0.354608,1.31356,0.113631,1.31007,11.5291
73,0.305975,0.350971,1.14705,0.113631,1.31007,11.5291
78,0.290873,0.339594,1.1675,0.113631,0.197269,1.73604
80,0.260974,0.320499,1.22809,0.113631,1.31007,11.5291
81,0.192958,0.267152,1.38451,0.113631,0.197269,1.73604
82,0.127202,0.34338,2.69949,0.113631,1.31007,11.5291
89,0.299918,0.302377,1.0082,0.113631,0.197269,1.73604
90,0.277334,0.33449,1.20609,0.113631,1.31007,11.5291
91,0.218888,0.334163,1.52664,0.113631,1.31007,11.5291
92,0.313901,0.330868,1.05405,0.113631,1.31007,11.5291
93,0.262144,0.328749,1.25408,0.113631,1.31007,11.5291
96,0.312766,0.326925,1.04527,0.113631,0.197269,1.73604
97,0.222458,0.328473,1.47656,0.113631,1.31007,11.5291
