Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.266297,0.565136,2.12221,0.0555862,1.35158,24.3151
2,0.354437,0.386383,1.09013,0.288951,0.723302,2.5032
5,0.337253,0.345598,1.02474,0.466756,0.723302,1.54964
7,0.246494,0.287411,1.166,0.288951,0.723302,2.5032
8,0.292892,0.344362,1.17573,0.35418,0.723302,2.04219
11,0.259771,0.345369,1.32951,0.288951,0.734942,2.54348
13,0.280072,0.316403,1.12972,0.466756,0.723302,1.54964
15,0.0955231,0.132028,1.38216,0.466756,0.723302,1.54964
16,0.19245,0.336111,1.74649,0.151838,1.26064,8.30249
19,0.255716,0.335947,1.31375,0.466756,0.723302,1.54964
20,0.259963,0.34157,1.31392,0.35418,0.723302,2.04219
23,0.316747,0.341507,1.07817,0.466756,0.723302,1.54964
25,0.301873,0.340317,1.12735,0.288951,0.723302,2.5032
28,0.24432,0.334289,1.36825,0.288951,0.723302,2.5032
31,0.32076,0.330781,1.03124,0.35418,0.723302,2.04219
32,0.144233,0.269761,1.87032,0.35418,0.723302,2.04219
35,0.201826,0.308,1.52607,0.288951,0.723302,2.5032
37,0.290277,0.31718,1.09268,0.35418,0.723302,2.04219
39,0.293689,0.328198,1.1175,0.288951,0.734942,2.54348
40,0.25411,0.25972,1.02207,0.466756,0.723302,1.54964
47,0.247839,0.32532,1.31262,0.288951,0.734942,2.54348
48,0.259573,0.309623,1.19281,0.288951,0.734942,2.54348
54,0.300167,0.316153,1.05326,0.466756,0.723302,1.54964
57,0.285242,0.319217,1.11911,0.288951,0.723302,2.5032
58,0.165596,0.29613,1.78827,0.35418,0.723302,2.04219
62,0.27775,0.320459,1.15377,0.466756,0.723302,1.54964
66,0.212459,0.253872,1.19492,0.35418,0.723302,2.04219
67,0.304385,0.31371,1.03064,0.466756,0.723302,1.54964
69,0.151944,0.299192,1.9691,0.23511,1.13274,4.81793
70,0.227418,0.304089,1.33714,0.288951,0.734942,2.54348
74,0.301937,0.312637,1.03544,0.35418,0.723302,2.04219
78,0.214656,0.29668,1.38212,0.288951,0.734942,2.54348
79,0.238304,0.303053,1.27171,0.288951,0.723302,2.5032
80,0.253596,0.299103,1.17945,0.288951,0.723302,2.5032
81,0.27149,0.312602,1.15143,0.35418,0.723302,2.04219
82,0.247162,0.30881,1.24942,0.288951,0.723302,2.5032
83,0.298172,0.306714,1.02865,0.466756,0.723302,1.54964
85,0.245824,0.310211,1.26192,0.288951,0.723302,2.5032
88,0.237531,0.298096,1.25498,0.288951,0.80577,2.78861
89,0.255897,0.280688,1.09688,0.466756,0.723302,1.54964
91,0.243973,0.29613,1.21378,0.288951,0.80577,2.78861
92,0.27052,0.287647,1.06331,0.35418,0.723302,2.04219
93,0.195627,0.292936,1.49742,0.23511,0.80577,3.4272
94,0.145311,0.278322,1.91535,0.23511,1.13274,4.81793
95,0.250501,0.288258,1.15073,0.288951,0.734942,2.54348
96,0.226529,0.285896,1.26207,0.23511,0.80577,3.4272
97,0.163939,0.283226,1.72763,0.288951,0.734942,2.54348
100,0.191199,0.228686,1.19606,0.35418,0.723302,2.04219
101,0.136781,0.240111,1.75543,0.288951,0.723302,2.5032
106,0.171309,0.252226,1.47234,0.288951,0.723302,2.5032
107,0.103757,0.226325,2.18129,0.288951,0.734942,2.54348
