Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.322555,0.770491,2.38871,0.0513052,1.34292,26.1751
4,0.367216,0.489554,1.33315,0.0513052,0.809398,15.7761
5,0.434429,0.471931,1.08633,0.0513052,0.7317,14.2617
8,0.344668,0.450757,1.3078,0.0513052,0.7317,14.2617
12,0.23302,0.370722,1.59095,0.0513052,0.802189,15.6356
14,0.29178,0.310507,1.06418,0.0513052,0.394895,7.69698
15,0.274801,0.403084,1.46682,0.0513052,0.802189,15.6356
17,0.404253,0.426061,1.05395,0.0513052,0.7317,14.2617
18,0.149715,0.252478,1.6864,0.0513052,0.802189,15.6356
20,0.325783,0.341309,1.04766,0.0513052,0.394895,7.69698
23,0.355478,0.373493,1.05068,0.0513052,0.394895,7.69698
25,0.195127,0.375965,1.92677,0.0513052,1.21932,23.766
26,0.0791154,0.371306,4.69322,0.0513052,1.21932,23.766
27,0.218867,0.364543,1.66559,0.0513052,0.809398,15.7761
28,0.139828,0.362477,2.59231,0.0513052,1.21932,23.766
29,0.346641,0.363158,1.04765,0.0513052,0.7317,14.2617
